label,node_rows,image_count,reviewer_count,q1_no_pct,q1_uncertain_pct,critical_nodes_all,critical_rate_all_pct,critical_share_of_dataset_pct,any_issue_rate_all_pct,critical_rate_q1_yes_pct,any_issue_rate_q1_yes_pct,avg_depth,avg_bbox_pct,top_critical_questions
back,17,17,11,11.76,5.88,6,35.29,0.12,76.47,28.57,71.43,2.1176,9.8729,Q2:3|Q1:2|Q3:1|Q5:1
snout,19,17,11,15.79,5.26,6,31.58,0.12,73.68,20.0,66.67,2.9474,2.5042,Q2:3|Q1:3|Q3:1
wiper,20,18,12,20.0,0.0,6,30.0,0.12,60.0,12.5,50.0,2.25,4.191,Q1:4|Q5:3|Q2:1|Q3:1|Q4:1
key,20,17,13,5.0,0.0,6,30.0,0.12,85.0,26.32,84.21,2.4,12.985,Q2:5|Q1:1
nail,21,20,11,9.52,0.0,6,28.57,0.12,66.67,21.05,63.16,4.0952,1.9576,Q2:4|Q1:2
court,22,22,12,0.0,0.0,6,27.27,0.12,72.73,27.27,72.73,1.0455,57.9886,Q4:3|Q8:2|Q5:2|Q2:1|Q3:1
field,24,20,12,4.17,4.17,6,25.0,0.12,66.67,22.73,63.64,1.2917,38.3371,Q2:3|Q5:1|Q8:1|Q1:1
cheese,26,23,14,7.69,7.69,6,23.08,0.12,65.38,18.18,59.09,2.2308,26.8688,Q2:3|Q1:2|Q3:1
container,28,27,17,7.14,7.14,6,21.43,0.12,60.71,16.67,54.17,1.7857,16.6014,Q3:2|Q2:2|Q1:2|Q8:1
phone,29,28,15,13.79,6.9,6,20.69,0.12,48.28,8.7,34.78,1.3448,9.0524,Q1:4|Q8:2
thumb,29,28,15,6.9,0.0,6,20.69,0.12,68.97,14.81,66.67,3.3793,5.0017,Q3:2|Q2:2|Q1:2|Q5:1
knob,36,32,17,11.11,0.0,6,16.67,0.12,38.89,6.25,31.25,2.5,2.9503,Q1:4|Q2:3|Q3:1
desk,36,30,17,5.56,2.78,6,16.67,0.12,77.78,12.12,75.76,1.2778,46.7033,Q3:2|Q1:2|Q4:1|Q5:1
keyboard,45,36,17,4.44,0.0,6,13.33,0.12,28.89,9.3,25.58,1.6889,10.3896,Q8:3|Q1:2|Q6:1
lens,45,44,18,0.0,0.0,6,13.33,0.12,42.22,13.33,42.22,2.8889,3.7789,Q2:5|Q5:2|Q4:1
box,49,42,19,8.16,12.24,6,12.24,0.12,46.94,5.13,33.33,1.5306,20.4253,Q1:4|Q3:1|Q4:1
mountain,50,45,20,4.0,2.0,6,12.0,0.12,46.0,8.51,42.55,1.22,22.3518,Q2:2|Q1:2|Q4:1|Q3:1
label,63,52,18,4.76,0.0,6,9.52,0.12,50.79,5.0,48.33,2.4127,7.7786,Q1:3|Q3:2|Q6:1|Q4:1|Q2:1
bottle,70,68,19,1.43,1.43,6,8.57,0.12,31.43,7.35,29.41,1.3,11.8489,Q2:2|Q8:1|Q1:1|Q4:1|Q5:1
slice,10,9,7,10.0,0.0,5,50.0,0.1,60.0,44.44,55.56,2.5,21.179,Q2:2|Q3:2|Q1:1
sausage,10,9,7,0.0,0.0,5,50.0,0.1,80.0,50.0,80.0,2.2,18.056,Q2:4|Q3:1
muzzle,12,12,9,41.67,0.0,5,41.67,0.1,83.33,0.0,71.43,2.6667,8.8783,Q1:5
batter,12,12,11,8.33,0.0,5,41.67,0.1,83.33,36.36,81.82,1.1667,31.6083,Q3:5|Q1:1|Q4:1|Q6:1
foam,12,11,9,8.33,0.0,5,41.67,0.1,58.33,36.36,54.55,2.9167,17.2175,Q2:4|Q1:1|Q5:1
border,12,12,9,8.33,0.0,5,41.67,0.1,83.33,36.36,81.82,2.75,13.0492,Q2:2|Q5:2|Q3:1|Q1:1
tread,12,10,8,8.33,0.0,5,41.67,0.1,58.33,36.36,54.55,3.1667,14.4425,Q2:2|Q5:2|Q1:1
trim,13,13,11,15.38,0.0,5,38.46,0.1,76.92,27.27,72.73,2.8462,4.3608,Q2:2|Q1:2|Q5:1
rack,15,12,10,20.0,0.0,5,33.33,0.1,73.33,16.67,66.67,2.1333,9.1887,Q1:3|Q8:1|Q4:1|Q5:1
sheet,15,13,11,20.0,0.0,5,33.33,0.1,66.67,16.67,58.33,2.2,35.9327,Q1:3|Q4:1|Q3:1
toe,15,15,12,13.33,0.0,5,33.33,0.1,73.33,23.08,69.23,3.5333,1.5927,Q2:3|Q1:2|Q5:1
rope,15,13,12,0.0,6.67,5,33.33,0.1,60.0,35.71,57.14,1.8667,12.588,Q2:2|Q5:2|Q4:1
chimney,17,16,12,17.65,11.76,5,29.41,0.1,70.59,16.67,58.33,1.9412,0.96,Q1:3|Q2:2
ankle,17,17,12,11.76,5.88,5,29.41,0.1,70.59,21.43,64.29,3.0,1.2659,Q2:3|Q1:2
tower,17,17,12,5.88,5.88,5,29.41,0.1,64.71,26.67,60.0,1.6471,18.6341,Q5:2|Q1:1|Q3:1|Q2:1
cornice,17,16,11,0.0,0.0,5,29.41,0.1,76.47,29.41,76.47,2.4118,13.2565,Q2:3|Q4:1|Q5:1
pant,20,19,12,10.0,0.0,5,25.0,0.1,45.0,16.67,38.89,2.15,14.0755,Q1:2|Q4:1|Q8:1|Q2:1|Q5:1
ski,21,20,13,4.76,0.0,5,23.81,0.1,38.1,20.0,35.0,1.0952,12.3781,Q4:2|Q2:1|Q6:1|Q1:1
bolt,21,20,14,4.76,9.52,5,23.81,0.1,57.14,22.22,50.0,2.5714,6.5252,Q2:4|Q1:1
monitor,24,18,12,20.83,4.17,5,20.83,0.1,50.0,0.0,33.33,1.5833,18.2771,Q1:5
display,24,23,15,4.17,0.0,5,20.83,0.1,41.67,17.39,39.13,2.6667,5.9792,Q3:3|Q6:1|Q2:1|Q4:1|Q7:1
faucet,26,25,13,11.54,0.0,5,19.23,0.1,42.31,8.7,34.78,1.2692,3.6419,Q1:3|Q8:2|Q4:1
napkin,30,28,13,13.33,10.0,5,16.67,0.1,56.67,4.35,43.48,1.1667,24.8273,Q1:4|Q3:1
top,34,30,16,0.0,0.0,5,14.71,0.1,50.0,14.71,50.0,2.2941,7.3047,Q5:3|Q4:1|Q2:1
eyebrow,40,39,19,0.0,0.0,5,12.5,0.1,62.5,12.5,62.5,3.25,2.468,Q2:4|Q4:1
bench,43,42,17,6.98,0.0,5,11.63,0.1,37.21,5.0,32.5,1.2326,24.8265,Q1:3|Q2:2|Q5:1
sock,44,41,17,0.0,2.27,5,11.36,0.1,34.09,11.63,32.56,2.4773,6.9248,Q4:3|Q2:2|Q3:1
knot,10,10,8,40.0,0.0,4,40.0,0.08,70.0,0.0,50.0,2.7,3.017,Q1:4
oven,10,10,8,10.0,0.0,4,40.0,0.08,70.0,33.33,66.67,1.4,38.026,Q8:1|Q1:1|Q3:1|Q5:1
deck,10,9,6,10.0,20.0,4,40.0,0.08,80.0,42.86,71.43,2.0,7.356,Q2:2|Q1:1|Q5:1
crack,10,9,8,10.0,10.0,4,40.0,0.08,80.0,37.5,75.0,2.2,7.766,Q2:2|Q3:1|Q1:1
